Area_Locality,Society_Name,Numeric_Price,Title,BHK
Padi,Shriram Park 63,8000000,2 BHK Apartment for Sale in Padi Chennai,2
Nehru Nagar Chromepet,Dlf Commanders Court,6500000,2 BHK Apartment for Sale in Nehru Nagar Chromepet Chennai,2
Anna Nagar West Extension,Brigade Xanadu,36500000,2 BHK Apartment for Sale in Anna Nagar West Extension Chennai,2
Mogappair,Vinoth Viruksha,10500000,3 BHK Apartment for Sale in Mogappair Chennai,3
Puthagaram Korattur,Akshaya Today,7500000,2 BHK Apartment for Sale in Puthagaram Korattur Chennai,2
Rajakilpakkam,Amarprakash Palm Riviera,4000000,2 BHK Apartment for Sale in Rajakilpakkam Chennai,2
Madipakkam,Altis Oceanique,7000000,2 BHK Apartment for Sale in Madipakkam Chennai,2
Shanmuga Nagar Pozhichalur,Amarprakash Temple Waves,5260000,3 BHK Apartment for Sale in Shanmuga Nagar Pozhichalur Chennai,3
Ambattur,Ramaniyam Chaitanya,8000000,2 BHK Apartment for Sale in Ambattur Chennai,2
East Tambaram,Elite Square,3000000,2 BHK Apartment for Sale in East Tambaram Chennai,2
Tambaram West Tambaram,Casagrand Primrose,4000000,2 BHK Apartment for Sale in Tambaram West Tambaram Chennai,2
Nungambakkam,Amarprakash The Royal Castle,16000000,2 BHK Apartment for Sale in Nungambakkam Chennai,2
Perungalathur,Casagrand Royale,3500000,2 BHK Apartment for Sale in Perungalathur Chennai,2
Kovur,Glo Dugar,6200000,2 BHK Apartment for Sale in Kovur Chennai,2
Kovilambakkam,Opulence Grand,5100000,2 BHK Apartment for Sale in Kovilambakkam Chennai,2
Omr,Alliance Jubliee Residencies,6000000,2 BHK Apartment for Sale in OMR Chennai,2
Thoraipakkam,Alliance Orchid Springs,12500000,2 BHK Apartment for Sale in Thoraipakkam Chennai,2
Sriperumbudur,Golden Treasure,3600000,2 BHK Apartment for Sale in Sriperumbudur Chennai,2
Kelambakkam,Olympia Opaline,5500000,2 BHK Apartment for Sale in Kelambakkam Chennai,2
Srivari Nagar Singaperumal Koil,Pacifica Aurum,5000000,2 BHK Apartment for Sale in Srivari Nagar Singaperumal Koil Chennai,2
Mannivakkam,Oyester Royal Castle,5500000,3 BHK Apartment for Sale in Mannivakkam Chennai,3
Vadapalani,Prestige Bella Vista,6500000,2 BHK Apartment for Sale in Vadapalani Chennai,2
Jawahar Nagar Perambur,Chaitanya Sunnyvale,8000000,2 BHK Apartment for Sale in Jawahar Nagar Perambur Chennai,2
Triplicane,Jains Inseli Park,23500000,3 BHK Apartment for Sale in Triplicane Chennai,3
Kelambakkam,Mohana Apartments,12000000,3 BHK Apartment for Sale in Kelambakkam Chennai,3
Anakaputhur,Arun Excello Saranga,3100000,2 BHK Apartment for Sale in Anakaputhur Chennai,2
Kelambakkam,Amarprakash Temple Waves,4360000,3 BHK Apartment for Sale in Kelambakkam Chennai,3
Chinna Nolambur,Bhaggyam Pragathi,19500000,3 BHK Apartment for Sale in Chinna Nolambur Chennai,3
Siruseri,Dra Centralia,7650000,2 BHK Apartment for Sale in Siruseri Chennai,2
Koyambedu,Shriprop Park 63,21000000,3 BHK Apartment for Sale in Koyambedu Chennai,3
Guduvancheri,Mahindra Lifespace Nova,2800000,2 BHK Apartment for Sale in Guduvancheri Chennai,2
Indira Nagar Selaiyur,Orchid Square,7000000,2 BHK Apartment for Sale in Indira Nagar Selaiyur Chennai,2
Sholinganallur,Vgn Brixton,15000000,2 BHK Apartment for Sale in Sholinganallur Chennai,2
Tiruvottiyur,Kg Earth Homes Phase 2,5400000,2 BHK Builder Floor for Sale in Tiruvottiyur Chennai,2
Thiruporur,Ruby Royal Tower,4000000,2 BHK Apartment for Sale in Thiruporur Chennai,2
Lakshmi Nagar Pozhichalur,Dlf Gardencity,2650000,2 BHK Apartment for Sale in Lakshmi Nagar Pozhichalur Chennai,2
Madipakkam,Vaikund Sundaram,7000000,2 BHK Builder Floor for Sale in Madipakkam Chennai,2
Thirumalai Nagar Annexe,Bbc City Paark,3470000,2 BHK Apartment for Sale in Thirumalai Nagar Annexe Chennai,2
Ullagaram Madipakkam,Alacrity Tarangini,7000000,2 BHK Apartment for Sale in Ullagaram Madipakkam Chennai,2
Kuberan Nagar Madipakkam,Kg Centre Point,6250000,3 BHK Apartment for Sale in Kuberan Nagar Madipakkam Chennai,3
Thiruvalluvar Nagar Thiruvanmiyur,Mantri Navaratna,7500000,2 BHK Builder Floor for Sale in Thiruvalluvar Nagar Thiruvanmiyur Chennai,2
Mandavelipakkam,Adithi Homes,12000000,2 BHK Apartment for Sale in Mandavelipakkam Chennai,2
Jothi Nagar Chitlapakkam,Amarprakash The Royal Castle,4600000,2 BHK Apartment for Sale in Jothi Nagar Chitlapakkam Chennai,2
Sector 5 Kk Nagar,Rupesh Flats,18500000,3 BHK Apartment for Sale in Sector 5 KK Nagar Chennai,3
Jamalia,Altis Oceanique,4700000,2 BHK Apartment for Sale in Jamalia Chennai,2
Ganapathipuram Chromepet,Casagrand Sunville,6000000,3 BHK Apartment for Sale in Ganapathipuram Chromepet Chennai,3
Irungattukottai,Amarprakash Temple Waves,3000000,2 BHK Apartment for Sale in Irungattukottai Chennai,2
Chitlapakkam,Bay View,6880000,2 BHK Apartment for Sale in Chitlapakkam Chennai,2
Saidapet,Featherlite Vaikuntam,7900000,2 BHK Builder Floor for Sale in Saidapet Chennai,2
Potheri,Brigade Residences,3500000,2 BHK Apartment for Sale in Potheri Chennai,2
Peerkankaranai,Ivy Terrace,4500000,2 BHK Builder Floor for Sale in Peerkankaranai Chennai,2
Urapakkam,Balaji Enclave,4000000,2 BHK Apartment for Sale in Urapakkam Chennai,2
Manapakkam,Radiance Icon,9800000,2 BHK Apartment for Sale in Manapakkam Chennai,2
Pallikaranai,Sugal And Damani Lakeside 2,9000000,2 BHK Apartment for Sale in Pallikaranai Chennai,2
Rajakilpakkam,Adinath Shantiniketan,9000000,3 BHK Apartment for Sale in Rajakilpakkam Chennai,3
Perungalathur,Casagrand Utopia,3860000,2 BHK Apartment for Sale in Perungalathur Chennai,2
Pozhichalur,Dac Aves,6000000,2 BHK Apartment for Sale in Pozhichalur Chennai,2
Tambaram West Tambaram,Tambaram West Tambaram,4200000,2 BHK Apartment for Sale in Tambaram West Tambaram Chennai,2
Velachery,Velachery,9500000,2 BHK Apartment for Sale in Velachery Chennai,2
Kk Nagar,Kk Nagar,12500000,2 BHK Apartment for Sale in KK Nagar Chennai,2
Thiruporur,Thiruporur,4500000,3 BHK Apartment for Sale in Thiruporur Chennai,3
Thenambakkam,Thenambakkam,3130000,2 BHK Apartment for Sale in Thenambakkam Chennai,2
Anbu Nagar Valasaravakkam,Anbu Nagar Valasaravakkam,13000000,3 BHK Apartment for Sale in Anbu Nagar Valasaravakkam Chennai,3
Ranga Nagar Chromepet,Ranga Nagar Chromepet,10500000,3 BHK Apartment for Sale in Ranga Nagar Chromepet Chennai,3
Egattur,Egattur,15000000,2 BHK Apartment for Sale in Egattur Chennai,2
Avadi,Avadi,2200000,2 BHK Apartment for Sale in Avadi Chennai,2
Tondiarpet,Tondiarpet,9500000,3 BHK Apartment for Sale in Tondiarpet Chennai,3
Shanmuga Nagar Pozhichalur,Shanmuga Nagar Pozhichalur,5900000,3 BHK Apartment for Sale in Shanmuga Nagar Pozhichalur Chennai,3
Padmavathi Nagar Iyyappanthangal,Padmavathi Nagar Iyyappanthangal,6600000,2 BHK Apartment for Sale in Padmavathi Nagar Iyyappanthangal Chennai,2
Guduvancherry,Guduvancherry,3500000,2 BHK Apartment for Sale in Guduvancherry Chennai,2
Thoraipakkam,Thoraipakkam,21500000,3 BHK Apartment for Sale in Thoraipakkam Chennai,3
Ambattur,Ambattur,5800000,2 BHK Apartment for Sale in Ambattur Chennai,2
Omr,Omr,5200000,2 BHK Apartment for Sale in OMR Chennai,2
Lakshmi Nagar Porur,Lakshmi Nagar Porur,9500000,2 BHK Apartment for Sale in Lakshmi Nagar Porur Chennai,2
Pallikaranai,Pallikaranai,4800000,2 BHK Apartment for Sale in Pallikaranai Chennai,2
Gopalapuram Perambur,Gopalapuram Perambur,15500000,3 BHK Apartment for Sale in Gopalapuram Perambur Chennai,3
Royalton Platina,Royalton Platina,22200000,2 BHK Apartment for Sale in Royalton platina Chennai,2
Pallikaranai,Pallikaranai,11600000,3 BHK Apartment for Sale in Pallikaranai Chennai,3
Saidapet,Saidapet,22000000,3 BHK Apartment for Sale in Saidapet Chennai,3
"Triplicane,","Triplicane,",11000000,"2 BHK Apartment for Sale in Triplicane, Chennai Chennai",2
Nallambakkam,Nallambakkam,4000000,2 BHK Apartment for Sale in Nallambakkam Chennai,2
Ayynambakkam,Ayynambakkam,9900000,3 BHK Apartment for Sale in AYYNAMBAKKAM Chennai,3
Mogappair,Mogappair,28500000,3 BHK Apartment for Sale in Mogappair Chennai,3
Egmore,Egmore,41000000,3 BHK Apartment for Sale in Egmore Chennai,3
Thiruvanmiyur,Thiruvanmiyur,12500000,3 BHK Apartment for Sale in Thiruvanmiyur Chennai,3
Mambakkam,Mambakkam,7200000,2 BHK Apartment for Sale in Mambakkam Chennai,2
Choolaimedu High Road,Choolaimedu High Road,8500000,2 BHK Apartment for Sale in Choolaimedu High Road Chennai,2
"Pavendar Nagar, Kanmani Flats, Kattupakkam","Pavendar Nagar, Kanmani Flats, Kattupakkam",5700000,"2 BHK Apartment for Sale in Pavendar nagar, Kanmani Flats, Kattupakkam Chennai",2
Chetpet,Chetpet,51000000,3 BHK Apartment for Sale in Chetpet Chennai,3
New Perungalathur,New Perungalathur,6900000,3 BHK Apartment for Sale in New Perungalathur Chennai,3
Mogappair West Ambattur Industrial Estate,Mogappair West Ambattur Industrial Estate,8700000,2 BHK Apartment for Sale in Mogappair West Ambattur Industrial Estate Chennai,2
Pammal,Pammal,3500000,2 BHK Apartment for Sale in Pammal Chennai,2
Medavakkam,Medavakkam,5700000,2 BHK Apartment for Sale in Medavakkam Chennai,2
Azhakapuri Nagar,Azhakapuri Nagar,9000000,2 BHK Apartment for Sale in Azhakapuri Nagar Chennai,2
Senthil Nagar Kolathur,Senthil Nagar Kolathur,8300000,2 BHK Apartment for Sale in Senthil Nagar Kolathur Chennai,2
Mogappair West Ambattur Industrial Estate,Mogappair West Ambattur Industrial Estate,7500000,2 BHK Apartment for Sale in Mogappair West Ambattur Industrial Estate Chennai,2
Pallavaram,Pallavaram,7000000,2 BHK Apartment for Sale in Pallavaram Chennai,2
Alandur,Alandur,55000000,3 BHK Builder Floor for Sale in Alandur Chennai,3
Veerabhadra Nagar,Veerabhadra Nagar,7200000,2 BHK Apartment for Sale in Veerabhadra Nagar Chennai,2
Ambattur,Ambattur,5200000,2 BHK Apartment for Sale in Ambattur Chennai,2
Mogappair West Ambattur Industrial Estate,Mogappair West Ambattur Industrial Estate,11100000,2 BHK Apartment for Sale in Mogappair West Ambattur Industrial Estate Chennai,2
Thazhambur,Thazhambur,5800000,3 BHK Apartment for Sale in Thazhambur Chennai,3
Anand Homes,Anand Homes,7100000,3 BHK Apartment for Sale in anand homes Chennai,3
Chromepet,Chromepet,5500000,2 BHK Apartment for Sale in Chromepet Chennai,2
Semmancheri,Semmancheri,21000000,3 BHK Apartment for Sale in Semmancheri Chennai,3
Surya Nagar Medavakkam,Surya Nagar Medavakkam,9500000,3 BHK Apartment for Sale in Surya Nagar Medavakkam Chennai,3
Pallikaranai,Pallikaranai,8000000,2 BHK Apartment for Sale in Pallikaranai Chennai,2
Ramapuram,Ramapuram,16000000,3 BHK Apartment for Sale in Ramapuram Chennai,3
West Mambalam,West Mambalam,11000000,2 BHK Apartment for Sale in West Mambalam Chennai,2
Jai Nagar Arumbakkam,Jai Nagar Arumbakkam,11000000,3 BHK Apartment for Sale in Jai Nagar Arumbakkam Chennai,3
Guduvancheri,Guduvancheri,6500000,3 BHK Apartment for Sale in Guduvancheri Chennai,3
Guduvancheri,Guduvancheri,7000000,3 BHK Builder Floor for Sale in Guduvancheri Chennai,3
Perambur,Perambur,12500000,3 BHK Builder Floor for Sale in Perambur Chennai,3
Nandivaram Guduvancheri,Nandivaram Guduvancheri,5800000,2 BHK Apartment for Sale in Nandivaram Guduvancheri Chennai,2
Vadapalani,Vadapalani,15900000,3 BHK Apartment for Sale in Vadapalani Chennai,3
Potheri,Potheri,4500000,2 BHK Apartment for Sale in Potheri Chennai,2
Manapakkam,Manapakkam,4200000,2 BHK Builder Floor for Sale in Manapakkam Chennai,2
Madambakkam,Madambakkam,6400000,2 BHK Apartment for Sale in Madambakkam Chennai,2
Padur,Padur,9500000,3 BHK Apartment for Sale in Padur Chennai,3
Thirveni Shruthi,Thirveni Shruthi,4000000,2 BHK Apartment for Sale in Thirveni Shruthi Chennai,2
Velachery,Velachery,5500000,2 BHK Apartment for Sale in Velachery Chennai,2
Omr,Omr,5990000,2 BHK Apartment for Sale in OMR Chennai,2
Veerabhadra Nagar,Veerabhadra Nagar,15000000,3 BHK Apartment for Sale in Veerabhadra Nagar Chennai,3
Thiruporur,Thiruporur,3300000,2 BHK Apartment for Sale in Thiruporur Chennai,2
Porur,Porur,5500000,2 BHK Apartment for Sale in Porur Chennai,2
Kodungaiyur,Kodungaiyur,7500000,2 BHK Apartment for Sale in Kodungaiyur Chennai,2
Anna Nagar,Anna Nagar,25000000,3 BHK Apartment for Sale in Anna Nagar Chennai,3
Kolathur,Kolathur,5200000,2 BHK Apartment for Sale in Kolathur Chennai,2
Maraimalai Nagar,Maraimalai Nagar,3600000,2 BHK Builder Floor for Sale in Maraimalai Nagar Chennai,2
Madambakkam,Madambakkam,9000000,3 BHK Apartment for Sale in Madambakkam Chennai,3
Kk Nagar,Kk Nagar,12000000,2 BHK Apartment for Sale in KK Nagar Chennai,2
Manapakkam,Manapakkam,12800000,2 BHK Apartment for Sale in Manapakkam Chennai,2
Athanancherry,Athanancherry,3000000,2 BHK Apartment for Sale in Athanancherry Chennai,2
Perungudi,Perungudi,15500000,2 BHK Apartment for Sale in Perungudi Chennai,2
Arunachalam Road,Arunachalam Road,20500000,3 BHK Apartment for Sale in Arunachalam Road Chennai,3
Oragadam,Oragadam,6700000,3 BHK Apartment for Sale in Oragadam Chennai,3
Poonamallee,Poonamallee,9000000,3 BHK Apartment for Sale in Poonamallee Chennai,3
Urapakkam,Urapakkam,5000000,2 BHK Builder Floor for Sale in Urapakkam Chennai,2
East Tambaram,East Tambaram,4500000,2 BHK Builder Floor for Sale in East Tambaram Chennai,2
Manapakkam,Manapakkam,12300000,2 BHK Builder Floor for Sale in Manapakkam Chennai,2
Sri Gokul Homes,Sri Gokul Homes,5800000,2 BHK Apartment for Sale in sri gokul homes Chennai,2
Thoraipakkam,Thoraipakkam,23500000,3 BHK Apartment for Sale in Thoraipakkam Chennai,3
Kurinji Nagar Old Perungalathur,Kurinji Nagar Old Perungalathur,4200000,3 BHK Builder Floor for Sale in Kurinji Nagar Old Perungalathur Chennai,3
Porur,Porur,13000000,3 BHK Apartment for Sale in Porur Chennai,3
Kumaran Nagar East,Kumaran Nagar East,7500000,2 BHK Apartment for Sale in Kumaran Nagar East Chennai,2
Thoraipakkam,Thoraipakkam,12000000,3 BHK Apartment for Sale in Thoraipakkam Chennai,3
Mahakavi Bharathi Nagar,Mahakavi Bharathi Nagar,6200000,2 BHK Apartment for Sale in Mahakavi Bharathi Nagar Chennai,2
Thiruporur,Thiruporur,4600000,3 BHK Apartment for Sale in Thiruporur Chennai,3
Ayanavaram,Ayanavaram,10000000,2 BHK Builder Floor for Sale in Ayanavaram Chennai,2
Sirukaveripakkam,Sirukaveripakkam,3500000,2 BHK Apartment for Sale in Sirukaveripakkam Chennai,2
Ayanambakkam,Ayanambakkam,6500000,2 BHK Apartment for Sale in Ayanambakkam Chennai,2
Agraharam Korattur,Agraharam Korattur,7500000,2 BHK Apartment for Sale in Agraharam Korattur Chennai,2
Poonamallee,Poonamallee,8500000,2 BHK Apartment for Sale in Poonamallee Chennai,2
Semmancheri,Semmancheri,6500000,2 BHK Apartment for Sale in Semmancheri Chennai,2
Avadi,Avadi,7500000,2 BHK Apartment for Sale in Avadi Chennai,2
Guduvancheri,Guduvancheri,4000000,2 BHK Builder Floor for Sale in Guduvancheri Chennai,2
Sithalapakkam,Sithalapakkam,7500000,3 BHK Apartment for Sale in Sithalapakkam Chennai,3
Madipakkam,Madipakkam,6800000,3 BHK Builder Floor for Sale in Madipakkam Chennai,3
Nellikuppam,Nellikuppam,3350000,3 BHK Builder Floor for Sale in Nellikuppam Chennai,3
Mannivakkam,Mannivakkam,4600000,2 BHK Apartment for Sale in Mannivakkam Chennai,2
Mudichur Road,Mudichur Road,6000000,3 BHK Apartment for Sale in Mudichur Road Chennai,3
Madambakkam,Madambakkam,5200000,2 BHK Builder Floor for Sale in Madambakkam Chennai,2
Thaiyur,Thaiyur,4300000,3 BHK Apartment for Sale in Thaiyur Chennai,3
Sithalapakkam,Sithalapakkam,5200000,2 BHK Apartment for Sale in Sithalapakkam Chennai,2
Kolapakkam,Kolapakkam,7000000,2 BHK Apartment for Sale in Kolapakkam Chennai,2
Anakaputhur,Anakaputhur,4500000,2 BHK Apartment for Sale in Anakaputhur Chennai,2
Nallambakkam,Nallambakkam,3800000,3 BHK Apartment for Sale in Nallambakkam Chennai,3
Korattur,Korattur,9000000,2 BHK Apartment for Sale in Korattur Chennai,2
Grand Southern Trunk Road,Grand Southern Trunk Road,12500000,3 BHK Apartment for Sale in Grand Southern Trunk Road Chennai,3
East Tambaram,East Tambaram,5300000,2 BHK Apartment for Sale in East Tambaram Chennai,2
Padur,Padur,5500000,2 BHK Apartment for Sale in Padur Chennai,2
Thirumullaivoyal,Thirumullaivoyal,4500000,3 BHK Builder Floor for Sale in Thirumullaivoyal Chennai,3
Old Perungalathur,Old Perungalathur,5300000,2 BHK Apartment for Sale in Old Perungalathur Chennai,2
Kodambakkam,Kodambakkam,7500000,2 BHK Apartment for Sale in Kodambakkam Chennai,2
Medavakkam,Medavakkam,5500000,2 BHK Apartment for Sale in Medavakkam Chennai,2
Sriperumbudur,Sriperumbudur,6000000,3 BHK Apartment for Sale in Sriperumbudur Chennai,3
Mogappair West Ambattur Industrial Estate,Mogappair West Ambattur Industrial Estate,16500000,2 BHK Apartment for Sale in Mogappair West Ambattur Industrial Estate Chennai,2
Perumbakkam,Perumbakkam,25000000,3 BHK Apartment for Sale in Perumbakkam Chennai,3
"Alwarthirunagar,","Alwarthirunagar,",15000000,"3 BHK Apartment for Sale in Alwarthirunagar, Chennai Chennai",3
Ofcons Swathi,Ofcons Swathi,7200000,3 BHK Apartment for Sale in Ofcons Swathi Chennai,3
Mambakkam Sriperumbudur,Mambakkam Sriperumbudur,9500000,3 BHK Apartment for Sale in Mambakkam Sriperumbudur Chennai,3
Thiruvalluvar Nagar Thiruvanmiyur,Thiruvalluvar Nagar Thiruvanmiyur,10600000,2 BHK Apartment for Sale in Thiruvalluvar Nagar Thiruvanmiyur Chennai,2
Lakshmi Nagar Nanganallur,Lakshmi Nagar Nanganallur,12200000,2 BHK Builder Floor for Sale in Lakshmi Nagar Nanganallur Chennai,2
"Old Perungalathur,","Old Perungalathur,",7500000,"3 BHK Apartment for Sale in Old Perungalathur, Chennai Chennai",3
Anna Nagar Madhavaram,Anna Nagar Madhavaram,6500000,3 BHK Apartment for Sale in Anna Nagar Madhavaram Chennai,3
Perumbakkam,Perumbakkam,8500000,3 BHK Apartment for Sale in Perumbakkam Chennai,3
Omr,Omr,46000000,2 BHK Apartment for Sale in OMR Chennai,2
Sanjay Gandhi Nagar Virugambakkam,Sanjay Gandhi Nagar Virugambakkam,9770000,2 BHK Apartment for Sale in Sanjay Gandhi Nagar Virugambakkam Chennai,2
Thirumullaivoyal,Thirumullaivoyal,7000000,3 BHK Builder Floor for Sale in Thirumullaivoyal Chennai,3
Manapakkam,Manapakkam,18000000,3 BHK Apartment for Sale in Manapakkam Chennai,3
Chromepet,Chromepet,10500000,3 BHK Apartment for Sale in Chromepet Chennai,3
Nallambakkam,Nallambakkam,4000000,3 BHK Apartment for Sale in Nallambakkam Chennai,3
Oragadam,Oragadam,6000000,2 BHK Apartment for Sale in Oragadam Chennai,2
Thoraipakkam,Thoraipakkam,11000000,2 BHK Apartment for Sale in Thoraipakkam Chennai,2
Thiruvanmiyur,Thiruvanmiyur,15000000,2 BHK Apartment for Sale in Thiruvanmiyur Chennai,2
Maduravoyal,Maduravoyal,4500000,2 BHK Apartment for Sale in Maduravoyal Chennai,2
Mahindra World City,Mahindra World City,20000000,3 BHK Apartment for Sale in Mahindra World City Chennai,3
Gandhi Nagar Vadapalani,Gandhi Nagar Vadapalani,10000000,2 BHK Apartment for Sale in Gandhi Nagar Vadapalani Chennai,2
Porur,Porur,4800000,2 BHK Apartment for Sale in Porur Chennai,2
"Paruthipattu, Avadi","Paruthipattu, Avadi",5500000,"2 BHK Apartment for Sale in Paruthipattu, Avadi Chennai",2
Icf,Icf,7300000,3 BHK Apartment for Sale in ICF Chennai,3
Siruseri,Siruseri,4000000,2 BHK Apartment for Sale in Siruseri Chennai,2
"Urapakkam,","Urapakkam,",3600000,"2 BHK Apartment for Sale in Urapakkam, Chennai Chennai",2
Hasthinapuram,Hasthinapuram,8500000,3 BHK Apartment for Sale in Hasthinapuram Chennai,3
Pallikaranai,Pallikaranai,9000000,2 BHK Apartment for Sale in Pallikaranai Chennai,2
Keethi /R.A Puram,Keethi /R.A Puram,11500000,2 BHK Builder Floor for Sale in keethi /R.A puram Chennai,2
Kundrathur,Kundrathur,2400000,2 BHK Apartment for Sale in Kundrathur Chennai,2
Anna Nagar,Anna Nagar,32500000,3 BHK Apartment for Sale in Anna Nagar Chennai,3
Urapakkam,Urapakkam,6500000,2 BHK Apartment for Sale in Urapakkam Chennai,2
Thazhambur,Thazhambur,6500000,2 BHK Apartment for Sale in Thazhambur Chennai,2
Gkm Colony Kolathur,Gkm Colony Kolathur,9000000,2 BHK Apartment for Sale in GKM Colony Kolathur Chennai,2
Vgp Amudha Nagar,Vgp Amudha Nagar,13000000,3 BHK Apartment for Sale in VGP Amudha Nagar Chennai,3
Sholinganallur,Sholinganallur,8000000,3 BHK Apartment for Sale in Sholinganallur Chennai,3
Ramachandra Nagar Kolapakkam,Ramachandra Nagar Kolapakkam,4000000,2 BHK Apartment for Sale in Ramachandra Nagar Kolapakkam Chennai,2
Madipakkam,Madipakkam,8000000,2 BHK Apartment for Sale in Madipakkam Chennai,2
Ayanambakkam,Ayanambakkam,6000000,2 BHK Apartment for Sale in Ayanambakkam Chennai,2
Vanagaram,Vanagaram,8600000,3 BHK Apartment for Sale in Vanagaram Chennai,3
Ambattur,Ambattur,12500000,3 BHK Apartment for Sale in Ambattur Chennai,3
Korattur,Korattur,7000000,2 BHK Apartment for Sale in Korattur Chennai,2
Madhavaram,Madhavaram,6900000,2 BHK Apartment for Sale in Madhavaram Chennai,2
Alacrity Taringini,Alacrity Taringini,6000000,2 BHK Apartment for Sale in Alacrity Taringini Chennai,2
Thazhambur,Thazhambur,12000000,3 BHK Apartment for Sale in Thazhambur Chennai,3
Kundrathur,Kundrathur,4000000,2 BHK Apartment for Sale in Kundrathur Chennai,2
Perumbakkam,Perumbakkam,7500000,2 BHK Apartment for Sale in Perumbakkam Chennai,2
Veerapandi Nagar,Veerapandi Nagar,9200000,2 BHK Apartment for Sale in Veerapandi Nagar Chennai,2
Mannivakkam,Mannivakkam,5000000,2 BHK Apartment for Sale in Mannivakkam Chennai,2
Thiruporur,Thiruporur,4000000,2 BHK Apartment for Sale in Thiruporur Chennai,2
"Kabali Nagar, Aadhanur, Guduvanchery","Kabali Nagar, Aadhanur, Guduvanchery",4750000,"2 BHK Apartment for Sale in Kabali Nagar, Aadhanur, Guduvanchery Chennai",2
Thoraipakkam,Thoraipakkam,25000000,3 BHK Apartment for Sale in Thoraipakkam Chennai,3
Padappai,Padappai,2700000,2 BHK Apartment for Sale in Padappai Chennai,2
Kk Nagar West,Kk Nagar West,13200000,2 BHK Apartment for Sale in KK Nagar West Chennai,2
Vandalur,Vandalur,4200000,2 BHK Apartment for Sale in Vandalur Chennai,2
Madhavaram,Madhavaram,9000000,2 BHK Apartment for Sale in Madhavaram Chennai,2
Injambakkam,Injambakkam,9500000,2 BHK Apartment for Sale in Injambakkam Chennai,2
Korattur,Korattur,15500000,3 BHK Apartment for Sale in Korattur Chennai,3
Chromepet,Chromepet,6500000,3 BHK Apartment for Sale in Chromepet Chennai,3
Thirumudivakkam,Thirumudivakkam,3500000,2 BHK Apartment for Sale in Thirumudivakkam Chennai,2
Thiruvanmiyur,Thiruvanmiyur,10500000,2 BHK Apartment for Sale in Thiruvanmiyur Chennai,2
Thazhambur,Thazhambur,8900000,2 BHK Apartment for Sale in Thazhambur Chennai,2
Manapakkam,Manapakkam,9500000,3 BHK Builder Floor for Sale in Manapakkam Chennai,3
Kottivakkam,Kottivakkam,20000000,3 BHK Apartment for Sale in Kottivakkam Chennai,3
Mandaveli Street,Mandaveli Street,16000000,2 BHK Apartment for Sale in Mandaveli Street Chennai,2
Pallikaranai,Pallikaranai,9900000,2 BHK Apartment for Sale in Pallikaranai Chennai,2
Manapakkam,Manapakkam,19000000,2 BHK Builder Floor for Sale in Manapakkam Chennai,2
Siruseri,Siruseri,13500000,3 BHK Apartment for Sale in Siruseri Chennai,3
Kolathur,Kolathur,9500000,3 BHK Builder Floor for Sale in Kolathur Chennai,3
Tiruvanchery,Tiruvanchery,8200000,2 BHK Apartment for Sale in Tiruvanchery Chennai,2
Velachery,Velachery,12000000,2 BHK Apartment for Sale in Velachery Chennai,2
Semmancheri,Semmancheri,6200000,2 BHK Apartment for Sale in Semmancheri Chennai,2
Agraharamel,Agraharamel,8000000,3 BHK Apartment for Sale in Agraharamel Chennai,3
Mannivakkam,Mannivakkam,5300000,2 BHK Apartment for Sale in Mannivakkam Chennai,2
Madhavaram Bazaar Street,Madhavaram Bazaar Street,5000000,2 BHK Apartment for Sale in Madhavaram bazaar Street Chennai,2
Irungattukottai,Irungattukottai,3000000,2 BHK Apartment for Sale in Irungattukottai Chennai,2
Ambattur,Ambattur,4500000,2 BHK Builder Floor for Sale in Ambattur Chennai,2
Varadharajapuram,Varadharajapuram,3600000,2 BHK Builder Floor for Sale in Varadharajapuram Chennai,2
Choolai,Choolai,14400000,2 BHK Builder Floor for Sale in Choolai Chennai,2
Omr,Omr,7800000,3 BHK Apartment for Sale in OMR Chennai,3
Kattankulathur,Kattankulathur,5000000,2 BHK Apartment for Sale in Kattankulathur Chennai,2
Chromepet,Chromepet,6900000,2 BHK Apartment for Sale in Chromepet Chennai,2
Madhavaram,Madhavaram,10000000,2 BHK Apartment for Sale in Madhavaram Chennai,2
Nallambakkam,Nallambakkam,3500000,2 BHK Apartment for Sale in Nallambakkam Chennai,2
Nellikuppam Road,Nellikuppam Road,8200000,3 BHK Apartment for Sale in Nellikuppam Road Chennai,3
Mahatma Gandhi Nagar,Mahatma Gandhi Nagar,3200000,2 BHK Apartment for Sale in Mahatma Gandhi Nagar Chennai,2
Thirutheri R F,Thirutheri R F,5800000,2 BHK Apartment for Sale in Thirutheri R F Chennai,2
Mangadu,Mangadu,4200000,2 BHK Apartment for Sale in Mangadu Chennai,2
Navalur,Navalur,5500000,2 BHK Builder Floor for Sale in Navalur Chennai,2
Navalur,Navalur,13500000,3 BHK Apartment for Sale in Navalur Chennai,3
Binny Garden,Binny Garden,21000000,3 BHK Apartment for Sale in Binny Garden Chennai,3
Kelambakkam,Kelambakkam,4600000,3 BHK Apartment for Sale in Kelambakkam Chennai,3
Gangai Nagar Urapakkam,Gangai Nagar Urapakkam,9100000,3 BHK Apartment for Sale in Gangai Nagar Urapakkam Chennai,3
