Area_Locality,Society_Name,Numeric_Price,Title,BHK
Thillaiganga Nagar,Amarprakash Temple Waves,22000000,3 BHK Apartment for Sale in Thillaiganga Nagar Chennai,3
Ags Colony Velachery,Ruby Ashok Manor Chrompet,22500000,3 BHK Apartment for Sale in AGS Colony Velachery Chennai,3
Pallavaram,Agp Shrirangam,8500000,2 BHK Apartment for Sale in Pallavaram Chennai,2
Kk Nagar,Adithi Homes,24000000,3 BHK Apartment for Sale in KK Nagar Chennai,3
Nanganallur,Radiance Empire,8420000,2 BHK Apartment for Sale in Nanganallur Chennai,2
Kolapakkam,Ashraya,3600000,2 BHK Apartment for Sale in Kolapakkam Chennai,2
Kattupakkam,Tvs Emerald Udyana,10000000,3 BHK Apartment for Sale in Kattupakkam Chennai,3
Korattur,Unique Chrompet,6200000,2 BHK Builder Floor for Sale in Korattur Chennai,2
Neelankarai,Sekaran Lyrica,19800000,3 BHK Apartment for Sale in Neelankarai Chennai,3
Meppur Village,Vgn Stafford,5000000,2 BHK Apartment for Sale in Meppur Village Chennai,2
Kumaran Colony Vadapalani,Olympia Opaline,12500000,2 BHK Apartment for Sale in Kumaran Colony Vadapalani Chennai,2
Kovur,Vijay Rajas Exurb,7000000,3 BHK Apartment for Sale in Kovur Chennai,3
Guduvancheri,Dac Manapark,5800000,2 BHK Apartment for Sale in Guduvancheri Chennai,2
Sriperumbudur,Ceebros Green Park Apartments,3500000,2 BHK Apartment for Sale in Sriperumbudur Chennai,2
Porur,Incor Pbel City,13100000,3 BHK Builder Floor for Sale in Porur Chennai,3
Padur,Dugar Lake Dugar,7400000,2 BHK Apartment for Sale in Padur Chennai,2
Egmore,Radiance Maraikayar Manor,30000000,3 BHK Apartment for Sale in Egmore Chennai,3
Gandhi Nagar Adyar,Indira Nagar,37000000,3 BHK Apartment for Sale in Gandhi Nagar Adyar Chennai,3
Ayanambakkam,Kg Good Fortune,7500000,3 BHK Apartment for Sale in Ayanambakkam Chennai,3
Egattur,Jd Homes Bluebell,22000000,3 BHK Apartment for Sale in Egattur Chennai,3
S Kolathur,Hiranandani Tiana,9760000,3 BHK Apartment for Sale in S Kolathur Chennai,3
Koyambedu,Indus Royal Tulip,19500000,2 BHK Apartment for Sale in Koyambedu Chennai,2
Poonamallee,Hazel Apartments,2900000,2 BHK Apartment for Sale in Poonamallee Chennai,2
Medavakkam,Saradeuz Tulip,11500000,3 BHK Apartment for Sale in Medavakkam Chennai,3
Kelambakkam,Altis Ashraya,5800000,2 BHK Apartment for Sale in Kelambakkam Chennai,2
Sholinganallur,S Manor,4100000,2 BHK Apartment for Sale in Sholinganallur Chennai,2
Grand Southern Trunk Road,Ozone Greens,15500000,3 BHK Apartment for Sale in Grand Southern Trunk Road Chennai,3
Valasaravakkam,Ramaniyam Shivani,7200000,2 BHK Apartment for Sale in Valasaravakkam Chennai,2
Medavakkam,Urbanrise Revolution One,6800000,2 BHK Apartment for Sale in Medavakkam Chennai,2
Sholinganallur,Kg Chandra Vista,7900000,3 BHK Apartment for Sale in Sholinganallur Chennai,3
